id,name,name_cn,ISBN
295096,氷風のクルッカ―雪の妖精と白い死神,冰风的柯露卡——雪之妖精与白色死神,9784434167317
299696,優しい騎士(ナイト)は、もうやめる。 極甘幼なじみの独占欲にずっぷりハメられてます,温柔骑士布下了独占欲陷阱。～极度宠溺型青梅竹马的真面目～,"9784396704179"
300292,まんが家女子、旅に出る。,漫画家女子、出门旅行,"9784866750941"
300383,雪贄の椿,,9784864423748
300711,変と乱,变与乱,"9784785969325"
302203,ひなたと三笠,日向和三笠,"9784801970878"
304148,陰獣トリステサ― 池上遼一幻想作品集,阴兽,9784160900677
305278,ドラゴンズヘブン―小林誠作品集,,9784257900979
306990,おれたちの頂 復刻版,,9784635047760
308792,冷食捜査官,冷食搜查官,"9784063727562"
308871,ニッポン夜枕ばなし,日本枕边夜话,9784845851782
308929,俺の妹がカリフなわけがない！,我的妹妹不可能是哈里发,9784794971869
309907,妖子,妖子,"9784088541464"
310837,邪鬼王爆烈,,9784257961727
311315,JS規格,,"9784894655485"
312647,恐怖症博士,,"9784253201339"
312655,ストーリィ・テラー,,9784821173785
313872,異世界よ、俺が無敵の吸血鬼だ! ~夜のハーレム性活は計画的に~,在异世界我是无敌的吸血鬼,"9784049131987"
313992,ギャルゲの世界で親友♂が俺を好きだと言い出して！？,在GALGAME的世界里基友竟然对我告白！？,"9784834264975"
315292,ゲッターロボアンソロジー~進化の意志,,9784344812727
319718,未だ青い僕たちは,,"9784813709787"
320278,幻怪地帯,幻怪地带,"9784022143181"
321451,華Doll* ～Flowering～Boys were still in a dream,华Doll ～Flowering～Boys were still in a dream,"9784065261071"
322238,ディバインハートマキナ ~反逆の女神~,,"9784799200834"
322779,新装版 四年生,,"9784065119969"
322896,ボタボタ,啪嗒啪嗒,"9784537143614"
324370,BRAVELY SECOND Design Works THE ART OF BRAVELY 2013-2015,,"9784757546356"
326332,竜馬がくる,,"9784086313698"
332661,藤岡建機作品集 DOLLMASTER -蒼穹の翼-,,"9784757722675"
332663,DOLLMASTER　ボー太とPAL,,"9784861768125"
333292,えへん、龍之介。,,"9784063760774"
334139,Iの悲劇,I的悲剧,9784163910963
334192,シャークな彼女の領域,鯊魚系女子的領域,"9784098603763"
336937,ちびっこエッチ,,"9784863497061"
341930,金瓶梅,,"9784939138515"
347039,同志少女よ、敵を撃て,少女同志，向敌人开枪吧,"9784152100641"
348458,鬼菓子魔,,"9784871829359"
349277,恋傷,恋伤,"9784088914893"
349395,ハートブレイク・レストラン,心碎餐厅,9784334744458
351762,家事万能の俺が孤高(?)の美少女を朝から夜までお世話することになった話,,"9784798626369"
352008,富豪とお試し婚なのに恋寸前です,,"9784344849310"
354342,豊かな乳の母と娘,,9784873069531
357806,強制的に悪役令嬢にされていたのでまずはおかゆを食べようと思います。,,"9784065224946"
359620,迷彩服で朝食をSPECIAL,,"9784537157116"
360073,消えたママ友,消失的妈妈友,"9784040643175"
360619,夫婦なんかになれるわけないっ~犬猿の幼なじみとまさかの子づくり⁉~,,"9784774732343"
362553,煌めく星の吸血島,群星闪耀的吸血岛,"9784396792145"
364997,スペードの国のアリス ～Wonderful White World～ 公式ビジュアルファンブック,,"9784047335912"
366685,若ゲのいたり ゲームクリエイターの青春,年輕遊戲之至高點 遊戲創作者之青春,"9784041070734"
372518,妄想フライデー,妄想星期五,"9784785971601"
376562,鋼鉄三国志,钢铁三国志,"9784840119191"
381039,バクネヤング〔完全版〕,,"9784091793317"
385355,誘惑カウントダウン,,"9784877091705"
386768,ひだまりのヌレヌレブック ひだまりエロパロアンソロジー,,"9784861058677"
388556,ステラ☆レコード,以星为证☆Stella Record,"9784785974381"
396123,図説 メイドインアビス 探窟記録,,"9784801921436"
401858,デリ恋～好きになったのはイケメンドライバーでした～,,"9784088918228"
403266,ぴちぱつ,,"9784537132120"
407036,ペンと鍵、10％な僕等,,"9784041137147"
408024,武侠三風剣,,"9784198933401"
408026,命の輝き,,9784575333695
408052,清朝時代にタイムスリップしたので科挙ガチってみた,,"9784087718164"
409754,乙女アソート,,"9784785932039"
414321,二次元コミックマガジン 触手レズ,,"9784799210567"
415417,完璧お嬢様の私が土下座でマゾ堕ちするちょろインなワケないですわ！,,"9784829663462"
415436,催眠☆学園,,"9784829663332"
415682,ガッタレ！塁,,"9784253040402"
418474,ハックしないで監査役!! 小説こうしす!EEシリーズ 元社内SE祝園アカネ 監査役編,,"9784910391106"
419050,通勤道中であの娘がぱんつを見せてくる本,那女孩在通勤路上露内裤给我看之书,"9784049149166"
420681,怪奇探偵リジー＆クリスタル,,"9784041036402"
421273,エラン,,"9784198300203"
434160,オジバディ!!,都是欧吉桑!!,"9784537125399"
437872,燃えてVシュート,,"9784253044318"
440814,狼なんかこわくない!,狼少女,"9784253079785"
442770,ニンジャスレイヤー ネオサイタマ炎上,忍者杀手,"9784047283312"
456522,ANGEL/DUST neo,,"9784048536875"
