id,name,name_cn
162017,妖狐のおまわりさん1,
162031,媚痴な母穴,媚痴的母穴
162050,バツ&テリー,龙兄虎弟
162131,とんでぶーりん,飞天少女猪
162155,きらりん☆レボリューション 特別編,
162224,イビルば〜じん,恶魔处子
162378,もっといちゃつきたいの♥,还是想和你一起
162390,メロディの事件簿,贫穷千金浪漫恋
162482,オデット ODETTE,
162615,まっどエンジェル,
162633,武士道シックスティーン,十六岁的武士道
162678,そう言やのカナ,说到那个啊
162968,このはな綺譚,此花绮谭
163013,學ビノ國,高四联盟
163031,"Wake Up, Girls!",
163168,ヴァーリアの花婿,瓦利娅的花婿
163178,少年守護神,
163248,あいつが魔法使い!,
163253,も一度初恋!,
163369,スタンド・バイ・ミー,站在我身边
163495,聖ポリス☆SEIKA,迷糊女警官
163590,ヤミホタル,
163649,VRG,
163662,伝鬼活人剣,
163864,シニガミ×ドクター,死神×醫生
163935,マンガ家先生のアシスタントくん,
163964,春のニオイ,春天的味道
164115,ウランバナ,花神少女爱作梦
164120,あいびき,
164131,世界の端っことあんずジャム,世界尽头与杏子的爵士乐
164276,I.B.S.S.―Ice blue silver sky,
164317,妖獣戦士 臨の章,
164325,横浜B級探偵物語 女はカクレンボ,
164425,最後の楽園,
164428,高慢チキ子ちゃん,
164439,アラビアン狂想曲,
164525,とある魔術のヘヴィーな座敷童が簡単な殺人妃の婚活事情,某魔法的重装座敷童子的简单的杀人妃的婚前准备
164621,リベラメンテ〜鎌谷悠希短編集,LIBERAMENTE〜镰谷悠希短篇集
164650,文庫版 アーシアン,文库版 天使夜未眠
164656,アーシアン,天使夜未眠
164698,ホントノコイビト～清楚系ビッチな彼女たち～,清纯系婊子的恋人们
164779,ドS女子会,
164965,もっとだめよめにっき,
164987,ふたりだけのSeason,
165014,菜~ふたたび~,
165019,ハナドキロード,
165023,江戸恋もよう,
165196,キミがスキ PLUS,
165202,噩梦游戏,噩梦游戏
165209,裏恋愛調教〜ホスト遊戯〜,裏恋爱调教〜男公关游戏〜
165216,ご指名!ホスト教師J,男公关教师 J
165222,愛想人―Sex friend,爱想人―SEX Friend
165224,先生と、私と、初めて。,老师与我的秘密关系
165247,人間モドキ,
165430,ハルマゲどん,
165555,Hiyoko voice,
165580,山びこ少女,
165607,炎のカメリア,
165616,娘よ、父の手に!,
166049,うつろわざるもの~ブレス オブ ファイア IV~,
166088,元ヤン,不良出身
166104,大人のヒヨコ,發情的雛鳥
166152,女王と仕立て屋,女王与裁缝师
166214,サバイバル鬼ごっこ,
166252,鬼は笑うか,
166383,狼は魔法を,
166483,黒い報告書,
166590,뽕짝스타,韩俗乐明星
166836,ゲッターロボG,盖塔机器人G
166886,シノビ四重奏,忍者四重奏
167487,天気予報ノ恋人,天气预报恋人
167888,なんてっ探偵♥アイドル,少女偶像侦探团
167993,밤을 걷는 선비,夜行儒士
168019,ヘブンリーホームシック,
168023,初恋を処する方法,
168053,무명기,无明记
168232,影に咲く花,暗影之华
168246,くいこみゅニケーション,
168272,乳娘-みるきぃがーる-,
168293,拘束違反,拘束违反
168387,東亰ザナドゥ,东京迷城
168474,カラフルぶらぱん,七彩内衣
168611,굿바이 미스터 블랙,再见，布莱克先生
168657,柊様は自分を探している。,正在寻找自己的柊小姐。
168841,こんな身体に誰がした,こんな身体に誰がした
168848,君が死ぬ夏に,君逝之夏
169058,大本気。,
169106,花色の恋人,
169146,先生なんて嫌いです。,老师什么的 最讨厌了
169248,パパとのひみつは夜にだけ,
169504,奈落の羊,奈落之羊
169508,クロノスへイズ,
169519,バビル2世 ザ・リターナー,巴比伦2世 THE Returner
169567,ハルソラ行進曲,
169596,ナン様とレン,
169715,アメコヒメ,雨子小姐
169716,連鎖 MODERN ENIGMA 柳原望短編集,
169719,快×開! ~快感開発部へようこそ! ~,
169723,僕の声を聞いた女子校生達がエロすぎる!,
169735,放課後さいころ倶楽部,放学后骰子俱乐部
169834,イノセント,
169838,もう一度くちづけて,再吻我一次
169932,花恋つらね,花恋长词
170258,コオリオニ(上),
170328,혈액형에 관한 간단한 고찰,血型相关的简单考察
170373,보스의 순정,老大的恋情
170438,メガミのカゴ,
170572,ぼくらの不思議な恋事情,
